Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2354,2648.00,2648.00,DSF0000913306
1,M064,I.S. 839 - MANHATTAN,SCA IEH,PO18-REMOVE AND REPLACE 9X9 ACM TILES IN 1ST AND 2ND FLOORS SQFT FOR 1ST FLOOR IS 510     2ND FLOOR,Construction,Complete,5/29/2024,IEH,7/2/2024,IEH,28783.00,4219.00,SCA0000073035
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,In-Progress,3/8/2024,DOER,,DOER,128641.00,0.00,DSF0001086195
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001112777
1,M064,P.S. 64 - MANHATTAN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,6/5/2023,DOES,,DOES,62522.00,0.00,DSF0000866118
1,M064,I.S. 839 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,3/25/2024,DOES,,DOES,65832.00,0.00,DSF0001084199
1,M064,P.S. 64 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,Complete,6/3/2024,DOES,6/24/2024,DOES,255112.00,,DSF0001111631
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,1/7/2021,5/7/2021,6/15/2021,39541,50839.00,50800.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Design,Complete,7/15/2021,12/16/2021,4/21/2022,186049,145846.00,106797.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,1/15/2024,1/3/2026,,3178051,2811396.00,65435.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,1/15/2024,1/3/2026,,364189,62879.00,62879.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,Fast Track Projects,FY18 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/10/2019,FTK,,FTK,54508.00,54508.00,DSF0000866416
1,M097,BARD COLLEGE HS - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.00,0.00,DSF0000961304
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,223957.00,0.00,DSF0000913084
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,450000.00,0.00,DSF0001112793
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,DOMESTIC WATER HEATER,Construction,In-Progress,3/1/2022,DOES,,DOES,90361.00,376.00,DSF0000961169
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,8/14/2023,DOES,,DOES,567979.00,0.00,DSF0001034279
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/26/2024,DOES,,DOES,197896.00,0.00,DSF0001085735
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Scope,Complete,8/4/2021,12/21/2021,2/2/2022,73176,195932.00,177643.00,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Design,Complete,6/1/2022,11/22/2022,5/12/2023,355589,310017.00,290581.00,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,7110248,7110248.00,280165.00,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,589451,589451.00,27296.00,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,8/15/2023,11/15/2023,4/15/2024,0,26741.00,26741.00,DSF0001035663
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,48556,21815.00,7264.00,DSF0001035663
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,712155,1231615.00,0.00,DSF0001035663
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,48556,83974.00,4779.00,DSF0001035663
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112055
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,44,44.00,0.00,DSF0001112055
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,733,733.00,733.00,DSF0001112055
1,M110,P.S. 110 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2603,2603.00,2603.00,DSF0001112055
1,M110,P.S. 110 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,6/18/2021,EMER,,EMER,928675.00,707109.00,SCA0000069969
1,M110,P.S. 110 - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR CEILING PLASTER IN ROOM #504,Construction,Complete,5/8/2023,IEH,5/3/2024,IEH,355.00,355.00,SCA0000071952
1,M110,P.S. 110 - MANHATTAN,SCA IEH,PO18-ACM TEST FOR WALL TO INSTALL BOTTLE FILLERS 2 LOCATIONS GYMNASIUM / BUBBLER / M11001GM000GYM.1B,Construction,Complete,4/12/2024,IEH,7/13/2024,IEH,19272.00,3016.00,SCA0000072925
1,M110,P.S. 110 - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR WALL PLASTER LOCATED IN THE 2ND FLOOR  AND 3RD FLOOR STAIRSCASE F THAT IS FALL,Construction,Complete,5/13/2024,IEH,6/1/2024,IEH,20895.00,20800.00,SCA0000073001
1,M110,P.S. 110 - MANHATTAN,SCA IEH,PO18-2 AREAS IN GYMNASIUM NEEDS TO BE ABATED ONE AREA IS THE GYMNASIUM PHONE THAT FELL FROM THE WALL,Construction,In-Progress,7/30/2024,IEH,,IEH,1541.00,966.00,SCA0000073197
1,M110,P.S. 110 - MANHATTAN,SCA IEH,PO18-CORE DRILLING HOLES FOR ELECTRICAL CONDUITS IN THE GYM,Construction,Complete,8/23/2024,IEH,8/30/2024,IEH,22140.00,649.00,SCA0000073313
1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,10/23/2018,3/13/2019,1/18/2019,371656,171214.00,171214.00,"DSF0000876062, DSF0000876063, DSF0000876064, DSF0000876065"
1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,1/22/2019,6/21/2019,5/17/2019,1486620,826156.00,771304.00,"DSF0000876062, DSF0000876063, DSF0000876064, DSF0000876065"
1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,10/21/2019,8/15/2022,,27874124,27152807.00,21280871.00,"DSF0000876062, DSF0000876063, DSF0000876064, DSF0000876065"
1,M134,P.S. 134 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,10/21/2019,8/15/2022,,1734390,717658.00,663851.00,"DSF0000876062, DSF0000876063, DSF0000876064, DSF0000876065"
1,M134,P.S. 134 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033658
1,M134,P.S. 134 - MANHATTAN,DIIT - RESOA,RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001111926
1,M134,P.S. 134 - MANHATTAN,DOE - RESOA,FY20 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0000913319
1,M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,1/18/2022,DOES,,DOES,391092.00,0.00,DSF0000911918
1,M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,9/19/2022,DOES,,DOES,77253.00,0.00,DSF0001009093
1,M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/13/2024,DOES,5/23/2024,DOES,65832.00,10156.00,DSF0001084223
1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Scope,Complete,1/24/2018,1/20/2021,5/19/2021,15710,29475.00,29475.00,"DSF0000866352, DSF0000961102, DSF0001018706"
1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Design,Complete,7/7/2021,12/10/2021,3/3/2022,62520,98375.00,74465.00,"DSF0000866352, DSF0000961102, DSF0001018706"
1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,Construction,In-Progress,5/17/2023,5/15/2024,,723155,753545.00,505835.00,"DSF0000866352, DSF0000961102, DSF0001018706"
1,M137,P.S. 184 - MANHATTAN,SCA CIP,FY18 RESO A ELECTRICAL SYSTEMS / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,"CM,F&E",In-Progress,5/17/2023,5/15/2024,,151715,149779.00,73298.00,"DSF0000866352, DSF0000961102, DSF0001018706"
1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/11/2022,11/8/2022,7/28/2022,5326,2660.00,2660.00,DSF0001034607
1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/28/2022,1/26/2023,9/21/2022,23966,10640.00,10640.00,DSF0001034607
1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,308893,280585.00,243384.00,DSF0001034607
1,M137,P.S. 184 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,165385,134685.00,102877.00,DSF0001034607
1,M137,P.S. 184 - MANHATTAN,DOE - RESOA,FY15 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0000800504
1,M137,P.S. 184 - MANHATTAN,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,9/6/2022,DOER,,DOER,97723.00,0.00,DSF0000913320
1,M137,P.S. 184 - MANHATTAN,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,1/3/2017,DOES,,DOES,128263.00,0.00,DSF0000786134
1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,10/24/2018,3/14/2019,1/18/2019,504775,543899.00,505763.00,"DSF0000876119, DSF0000876120, DSF0000876121, DSF0000912290, DSF0001034291, DSF0001018730, DSF0001018731, DSF0001034290, DSF0001034288, DSF0001018723"
1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,1/22/2019,6/21/2019,9/16/2022,2518835,2354532.00,1756812.00,"DSF0000876119, DSF0000876120, DSF0000876121, DSF0000912290, DSF0001034291, DSF0001018730, DSF0001018731, DSF0001034290, DSF0001034288, DSF0001018723"
1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,6/5/2023,6/3/2026,,56237200,51029130.00,4601408.00,"DSF0000876119, DSF0000876120, DSF0000876121, DSF0000912290, DSF0001034291, DSF0001018730, DSF0001018731, DSF0001034290, DSF0001034288, DSF0001018723"
1,M140,P.S. 140 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,6/5/2023,6/3/2026,,3571289,1036553.00,1031764.00,"DSF0000876119, DSF0000876120, DSF0000876121, DSF0000912290, DSF0001034291, DSF0001018730, DSF0001018731, DSF0001034290, DSF0001034288, DSF0001018723"
1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/6/2022,11/3/2022,7/22/2022,4336,4223.00,4223.00,DSF0001034595
1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/22/2022,1/20/2023,9/21/2022,19513,17729.00,17729.00,DSF0001034595
1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,251500,232972.00,197652.00,DSF0001034595
1,M140,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,149910,133293.00,101485.00,DSF0001034595
1,M140,P.S. 140 - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,73000,73000.00,72731.00,DSF0001086230
1,M140,P.S. 140 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.00,0.00,DSF0000961347
1,M140,P.S. 140 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,9/22/2022,DOES,,DOES,81461.00,0.00,DSF0001009096
1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/22/2020,11/19/2020,8/19/2020,86400,152029.00,152029.00,"DSF0000944456, DSF0000944457, DSF0000944458"
1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,9/1/2020,6/15/2021,4/6/2021,432000,390753.00,347885.00,"DSF0000944456, DSF0000944457, DSF0000944458"
1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9/13/2021,6/4/2023,,9720000,10321594.00,7138602.00,"DSF0000944456, DSF0000944457, DSF0000944458"
1,M142,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/13/2021,6/4/2023,,604800,494522.00,449493.00,"DSF0000944456, DSF0000944457, DSF0000944458"
1,M142,P.S. 142 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/11/2024,DOER,,DOER,112434.00,0.00,DSF0001033170
1,M142,P.S. 142 - MANHATTAN,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,In-Progress,10/2/2023,DOER,,DOER,249419.00,0.00,DSF0001035690
1,M142,P.S. 142 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001112813
1,M142,P.S. 142 - MANHATTAN,DOE - Skilled Trades,ACCESSIBILITY,Construction,In-Progress,7/30/2022,DOES,,DOES,,0.00,SCA0000070971
1,M142,P.S. 142 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/30/2024,DOES,5/3/2024,DOES,65832.00,189.00,DSF0001084224
1,M188,P.S. 188 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPAIR IN ROOM 501A, AHERA BOOK SHOWS IT AS HOT.",Construction,Complete,4/15/2024,IEH,8/4/2024,IEH,19537.00,1332.00,SCA0000072930
1,M188,P.S. 188 - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A STEM LAB,F&E,PNS,PNS,PNS,PNS,88000,88000.00,0.00,DSF0001086254
1,M188,P.S. 188 - MANHATTAN,Fast Track Projects,LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,9/5/2019,FTK,,FTK,76709.00,76709.00,DSF0000912317
1,M188,M094 SPED - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,6/10/2024,DIIR,8/19/2024,DIIR,60000.00,,DSF0001086252
1,M188,P.S. 188 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/18/2024,DIIR,6/4/2024,DIIR,60000.00,60000.00,DSF0001086253
1,M188,P.S. 188 - MANHATTAN,DOE - RESOA,FY11 RESO A PLAYGROUND REDEVELOPMEN,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0000710824
1,M188,P.S. 188 - MANHATTAN,DOE - RESOA,FY20 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0000913037
1,M188,P.S. 188 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,135000.00,0.00,DSF0001035712
1,M188,P.S. 188 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001035713
1,M188,M094 SPED - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,6/3/2022,DOES,,DOES,313034.00,0.00,DSF0001008697
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Scope,Complete,6/22/2023,11/7/2023,3/26/2024,154686,233284.00,88837.00,"DSF0001070360, DSF0001098052, DSF0001098055, DSF0001112186, DSF0001098054"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Design,In-Progress,4/17/2024,9/18/2024,,720869,720869.00,28699.00,"DSF0001070360, DSF0001098052, DSF0001098055, DSF0001112186, DSF0001098054"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Construction,PNS,PNS,PNS,PNS,12159505,12159505.00,102809.00,"DSF0001070360, DSF0001098052, DSF0001098055, DSF0001112186, DSF0001098054"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,1227741,1227741.00,15911.00,"DSF0001070360, DSF0001098052, DSF0001098055, DSF0001112186, DSF0001098054"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA IEH,"PO18-ABATE CEILING ABOVE STAIRCASE E ,  BATHROOM ON 5TH FL BOYS BATHROOM AND 5TH FLOOR NEAR THE ELEV",Construction,In-Progress,7/10/2024,IEH,,IEH,871.00,121.00,SCA0000073129
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,Fast Track Projects,FY18 RESO A SAFETY SYSTEMS,Construction,In-Progress,11/13/2018,FTK,,FTK,15012.00,12702.00,DSF0000867371
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE - RESOA,FY18 RESO A MEDIA CENTER,Construction,PNS,PNS,PNS,PNS,DOER,235237.00,0.00,DSF0000866377
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE - RESOA,FY20 RESO A BATHROOM UPGRADES,Construction,In-Progress,2/26/2021,DOER,,DOER,53288.00,0.00,DSF0000913094
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE - Skilled Trades,REPAIRS TO FIRE DAMAGE,Construction,In-Progress,11/12/2019,DOES,,DOES,266861.00,0.00,SCA0000062188
1,M510,SATELLITE AT FORSYTHE,DOE - RESOA,FY20 RESO A BATHROOM UPGRADES,Construction,In-Progress,7/6/2023,DOER,,DOER,151912.00,0.00,DSF0000913098
1,M510,CASCADES CTR FOR TCHING & LNG - M,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,5/13/2024,DOER,,DOER,47394.00,0.00,DSF0001035770
1,M510,SATELLITE AT FORSYTHE,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001086309
1,M510,CASCADES CTR FOR TCHING & LNG - M,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,8/21/2023,DOES,,DOES,62190.00,0.00,DSF0000866124
1,M751,M751 SPED - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION- SWB @ M751,Construction,In-Progress,9/30/2024,EMER,,EMER,,0.00,SCA0000073449
1,M751,M751 SPED - MANHATTAN,SCA IEH,PO18-COLLAPSED AND ACM CEILING MATERIAL IN  ROOM 505 TEACHERS' S LOUNGE ROOM HAS BEEN CLOSED OFF .,Construction,Complete,7/8/2024,IEH,7/21/2024,IEH,31504.00,1322.00,SCA0000073120
1,M751,M751 SPED - MANHATTAN,DOE - RESOA,FY22 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,4/6/2023,DOER,,DOER,318711.00,0.00,DSF0001033728
1,M751,M751 SPED - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/6/2023,DOER,,DOER,290515.00,0.00,DSF0001086320
1,M751,M751 SPED - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/26/2018,DOES,,DOES,236177.00,0.00,DSF0000877431
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Scope,Complete,10/12/2018,3/4/2019,1/3/2019,373649,159135.00,159120.00,"DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Design,Complete,1/3/2019,6/5/2019,5/14/2019,1494600,1080167.00,939756.00,"DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Construction,In-Progress,10/9/2019,10/7/2021,,28023750,32377844.00,25501579.00,"DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,"CM,F&E",In-Progress,10/9/2019,10/7/2021,,1743699,2256085.00,2133432.00,"DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/22/2024,5/20/2024,1/22/2024,5982,1725.00,1725.00,DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/21/2024,9/16/2024,8/13/2024,26919,6899.00,6899.00,DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,346951,346951.00,0.00,DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,64306,64306.00,4789.00,DSF0001087462
2,M001,P.S. 1 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,199373.00,0.00,DSF0001035605
2,M001,P.S. 1 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,12/27/2021,DOES,,DOES,307767.00,0.00,DSF0001008689
2,M001,P.S. 1 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/17/2024,DOES,5/9/2024,DOES,65832.00,189.00,DSF0001084175
